"CO2","p","T","H2O","Points:0","Points:1","Points:2"
1,1.0012e+07,350.1,0,0,0.029985,0
1,1.0012e+07,350.1,0,0,0.029985,0.00021684
1,1.0012e+07,350.09,0,0,0.029985,0.00043499
1,1.0012e+07,350.09,0,0,0.029985,0.00065447
1,1.0012e+07,350.08,0,0,0.029985,0.00087528
1,1.0012e+07,350.08,0,0,0.029985,0.0010974
1,1.0012e+07,350.08,0,0,0.029985,0.0013209
1,1.0012e+07,350.08,0,0,0.029985,0.0015458
1,1.0012e+07,350.07,0,0,0.029985,0.001772
1,1.0012e+07,350.07,0,0,0.029985,0.0019996
1,1.0012e+07,350.07,0,0,0.029985,0.0022286
1,1.0012e+07,350.07,0,0,0.029985,0.002459
1,1.0012e+07,350.07,0,0,0.029985,0.0026907
1,1.0012e+07,350.07,0,0,0.029985,0.0029239
1,1.0012e+07,350.07,0,0,0.029985,0.0031585
1,1.0012e+07,350.07,0,0,0.029985,0.0033945
1,1.0012e+07,350.07,0,0,0.029985,0.003632
1,1.0012e+07,350.07,0,0,0.029985,0.0038709
1,1.0012e+07,350.07,0,0,0.029985,0.0041112
1,1.0012e+07,350.08,0,0,0.029985,0.004353
1,1.0012e+07,350.08,0,0,0.029985,0.0045963
1,1.0012e+07,350.08,0,0,0.029985,0.004841
1,1.0012e+07,350.08,0,0,0.029985,0.0050873
1,1.0012e+07,350.08,0,0,0.029985,0.005335
1,1.0012e+07,350.09,0,0,0.029985,0.0055842
1,1.0012e+07,350.09,0,0,0.029985,0.005835
1,1.0012e+07,350.09,0,0,0.029985,0.0060872
1,1.0012e+07,350.09,0,0,0.029985,0.006341
1,1.0012e+07,350.09,0,0,0.029985,0.0065964
1,1.0012e+07,350.09,0,0,0.029985,0.0068533
1,1.0012e+07,350.09,0,0,0.029985,0.0071117
1,1.0012e+07,350.09,0,0,0.029985,0.0073717
1,1.0012e+07,350.09,0,0,0.029985,0.0076333
1,1.0012e+07,350.09,0,0,0.029985,0.0078965
1,1.0012e+07,350.09,0,0,0.029985,0.0081613
1,1.0012e+07,350.09,0,0,0.029985,0.0084277
1,1.0012e+07,350.09,0,0,0.029985,0.0086957
1,1.0012e+07,350.09,0,0,0.029985,0.0089654
1,1.0012e+07,350.09,0,0,0.029985,0.0092366
1,1.0012e+07,350.09,0,0,0.029985,0.0095096
1,1.0012e+07,350.09,0,0,0.029985,0.0097841
1,1.0012e+07,350.09,0,0,0.029985,0.01006
1,1.0012e+07,350.09,0,0,0.029985,0.010338
1,1.0012e+07,350.09,0,0,0.029985,0.010618
1,1.0012e+07,350.09,0,0,0.029985,0.010899
1,1.0012e+07,350.09,0,0,0.029985,0.011182
1,1.0012e+07,350.09,0,0,0.029985,0.011467
1,1.0012e+07,350.09,0,0,0.029985,0.011753
1,1.0012e+07,350.09,0,0,0.029985,0.012042
1,1.0012e+07,350.09,0,0,0.029985,0.012332
1,1.0012e+07,350.09,0,0,0.029985,0.012623
1,1.0012e+07,350.09,0,0,0.029985,0.012917
1,1.0012e+07,350.09,0,0,0.029985,0.013212
1,1.0012e+07,350.09,0,0,0.029985,0.013509
1,1.0013e+07,350.09,0,0,0.029985,0.013808
1,1.0013e+07,350.09,0,0,0.029985,0.014109
1,1.0013e+07,350.09,0,0,0.029985,0.014411
1,1.0013e+07,350.1,0,0,0.029985,0.014716
1,1.0013e+07,350.1,0,0,0.029985,0.015022
1,1.0013e+07,350.1,0,0,0.029985,0.01533
1,1.0013e+07,350.1,0,0,0.029985,0.01564
1,1.0013e+07,350.1,0,0,0.029985,0.015952
1,1.0013e+07,350.1,0,0,0.029985,0.016265
1,1.0013e+07,350.11,0,0,0.029985,0.016581
1,1.0013e+07,350.11,0,0,0.029985,0.016898
1,1.0013e+07,350.11,0,0,0.029985,0.017218
1,1.0013e+07,350.11,0,0,0.029985,0.017539
1,1.0013e+07,350.11,0,0,0.029985,0.017863
1,1.0013e+07,350.11,0,0,0.029985,0.018188
1,1.0013e+07,350.11,0,0,0.029985,0.018515
1,1.0013e+07,350.12,0,0,0.029985,0.018844
1,1.0013e+07,350.12,0,0,0.029985,0.019176
1,1.0013e+07,350.12,0,0,0.029985,0.019509
1,1.0013e+07,350.12,0,0,0.029985,0.019844
1,1.0013e+07,350.12,0,0,0.029985,0.020182
1,1.0013e+07,350.12,0,0,0.029985,0.020521
1,1.0013e+07,350.12,0,0,0.029985,0.020862
1,1.0013e+07,350.12,0,0,0.029985,0.021206
1,1.0013e+07,350.12,0,0,0.029985,0.021551
1,1.0013e+07,350.12,0,0,0.029985,0.021899
1,1.0013e+07,350.12,0,0,0.029985,0.022249
1,1.0013e+07,350.12,0,0,0.029985,0.022601
1,1.0013e+07,350.12,0,0,0.029985,0.022955
1,1.0013e+07,350.12,0,0,0.029985,0.023311
1,1.0013e+07,350.12,0,0,0.029985,0.02367
1,1.0013e+07,350.12,0,0,0.029985,0.02403
1,1.0013e+07,350.11,0,0,0.029985,0.024393
1,1.0013e+07,350.11,0,0,0.029985,0.024758
1,1.0013e+07,350.11,0,0,0.029985,0.025125
1,1.0013e+07,350.11,0,0,0.029985,0.025494
1,1.0013e+07,350.11,0,0,0.029985,0.025866
1,1.0013e+07,350.11,0,0,0.029985,0.02624
1,1.0013e+07,350.11,0,0,0.029985,0.026616
1,1.0013e+07,350.11,0,0,0.029985,0.026995
1,1.0013e+07,350.11,0,0,0.029985,0.027375
1,1.0013e+07,350.11,0,0,0.029985,0.027758
1,1.0013e+07,350.11,0,0,0.029985,0.028144
1,1.0013e+07,350.11,0,0,0.029985,0.028531
1,1.0013e+07,350.11,0,0,0.029985,0.028922
1,1.0013e+07,350.11,0,0,0.029985,0.029314
1,1.0013e+07,350.11,0,0,0.029985,0.029709
1,1.0013e+07,350.11,0,0,0.029985,0.030106
1,1.0013e+07,350.11,0,0,0.029985,0.030506
1,1.0013e+07,350.1,0,0,0.029985,0.030908
1,1.0013e+07,350.1,0,0,0.029985,0.031312
1,1.0013e+07,350.1,0,0,0.029985,0.031719
1,1.0013e+07,350.1,0,0,0.029985,0.032129
1,1.0013e+07,350.1,0,0,0.029985,0.032541
1,1.0013e+07,350.1,0,0,0.029985,0.032955
1,1.0013e+07,350.1,0,0,0.029985,0.033372
1,1.0013e+07,350.1,0,0,0.029985,0.033792
1,1.0013e+07,350.1,0,0,0.029985,0.034214
1,1.0013e+07,350.1,0,0,0.029985,0.034638
1,1.0013e+07,350.1,0,0,0.029985,0.035065
1,1.0013e+07,350.1,0,0,0.029985,0.035495
1,1.0013e+07,350.1,0,0,0.029985,0.035927
1,1.0013e+07,350.1,0,0,0.029985,0.036362
1,1.0013e+07,350.1,0,0,0.029985,0.0368
1,1.0013e+07,350.1,0,0,0.029985,0.03724
1,1.0013e+07,350.1,0,0,0.029985,0.037683
1,1.0013e+07,350.1,0,0,0.029985,0.038129
1,1.0013e+07,350.1,0,0,0.029985,0.038577
1,1.0013e+07,350.1,0,0,0.029985,0.039028
1,1.0013e+07,350.1,0,0,0.029985,0.039482
1,1.0013e+07,350.1,0,0,0.029985,0.039939
1,1.0013e+07,350.1,0,0,0.029985,0.040398
1,1.0013e+07,350.1,0,0,0.029985,0.04086
1,1.0013e+07,350.1,0,0,0.029985,0.041325
1,1.0013e+07,350.1,0,0,0.029985,0.041793
1,1.0013e+07,350.1,0,0,0.029985,0.042264
1,1.0013e+07,350.1,0,0,0.029985,0.042737
1,1.0013e+07,350.1,0,0,0.029985,0.043213
1,1.0013e+07,350.1,0,0,0.029985,0.043693
1,1.0012e+07,350.1,0,0,0.029985,0.044175
1,1.0012e+07,350.09,0,0,0.029985,0.04466
1,1.0011e+07,350.09,0,0,0.029985,0.045148
1,1.001e+07,350.08,0,0,0.029985,0.045639
1,1.001e+07,350.08,0,0,0.029985,0.046133
1,1.0009e+07,350.07,0,0,0.029985,0.04663
1,1.0008e+07,350.06,0,0,0.029985,0.04713
1,1.0007e+07,350.05,0,0,0.029985,0.047633
1,1.0005e+07,350.04,0,0,0.029985,0.048139
1,1.0004e+07,350.04,0,0,0.029985,0.048648
1,1.0003e+07,350.03,0,0,0.029985,0.04916
1,1.0002e+07,350.02,0,0,0.029985,0.049675
1,1e+07,350.01,0,0,0.029985,0.050194
1,9.999e+06,350,0,0,0.029985,0.050716
1,9.9976e+06,349.99,0,0,0.029985,0.05124
1,9.9962e+06,349.98,0,0,0.029985,0.051768
1,9.9948e+06,349.97,0,0,0.029985,0.0523
1,9.9935e+06,349.96,0,0,0.029985,0.052834
1,9.9921e+06,349.95,0,0,0.029985,0.053372
1,9.9907e+06,349.94,0,0,0.029985,0.053912
1,9.9894e+06,349.92,0,0,0.029985,0.054457
1,9.988e+06,349.91,0,0,0.029985,0.055004
1,9.9866e+06,349.9,0,0,0.029985,0.055555
1,9.9852e+06,349.89,0,0,0.029985,0.056109
1,9.9838e+06,349.88,0,0,0.029985,0.056667
1,9.9824e+06,349.87,0,0,0.029985,0.057228
1,9.981e+06,349.86,0,0,0.029985,0.057792
1,9.9796e+06,349.85,0,0,0.029985,0.05836
1,9.9783e+06,349.84,0,0,0.029985,0.058931
1,9.9769e+06,349.83,0,0,0.029985,0.059506
1,9.9756e+06,349.82,0,0,0.029985,0.060084
1,9.9744e+06,349.81,0,0,0.029985,0.060665
1,9.9732e+06,349.81,0,0,0.029985,0.061251
1,9.9722e+06,349.8,0,0,0.029985,0.061839
1,9.9712e+06,349.79,0,0,0.029985,0.062432
1,9.9704e+06,349.78,0,0,0.029985,0.063028
1,9.9697e+06,349.78,0,0,0.029985,0.063627
1,9.9691e+06,349.77,0,0,0.029985,0.06423
1,9.9687e+06,349.77,0,0,0.029985,0.064837
1,9.9684e+06,349.77,0,0,0.029985,0.065448
1,9.9682e+06,349.77,0,0,0.029985,0.066062
1,9.9682e+06,349.77,0,0,0.029985,0.06668
1,9.9683e+06,349.77,0,0,0.029985,0.067302
1,9.9684e+06,349.77,0,0,0.029985,0.067927
1,9.9685e+06,349.77,0,0,0.029985,0.068556
1,9.9686e+06,349.77,0,0,0.029985,0.06919
1,9.9688e+06,349.77,0,0,0.029985,0.069827
1,9.9689e+06,349.77,0,0,0.029985,0.070467
1,9.969e+06,349.77,0,0,0.029985,0.071112
1,9.969e+06,349.77,0,0,0.029985,0.071761
1,9.969e+06,349.77,0,0,0.029985,0.072413
1,9.969e+06,349.77,0,0,0.029985,0.07307
1,9.969e+06,349.77,0,0,0.029985,0.07373
1,9.969e+06,349.77,0,0,0.029985,0.074395
1,9.9689e+06,349.77,0,0,0.029985,0.075063
1,9.9689e+06,349.77,0,0,0.029985,0.075736
1,9.9689e+06,349.77,0,0,0.029985,0.076413
1,9.9689e+06,349.77,0,0,0.029985,0.077094
1,9.969e+06,349.77,0,0,0.029985,0.077779
1,9.969e+06,349.76,0,0,0.029985,0.078468
1,9.969e+06,349.76,0,0,0.029985,0.079161
1,9.969e+06,349.76,0,0,0.029985,0.079858
1,9.969e+06,349.76,0,0,0.029985,0.08056
1,9.969e+06,349.76,0,0,0.029985,0.081266
1,9.969e+06,349.76,0,0,0.029985,0.081977
1,9.9689e+06,349.76,0,0,0.029985,0.082691
1,9.9689e+06,349.76,0,0,0.029985,0.08341
1,9.9689e+06,349.76,0,0,0.029985,0.084133
1,9.9689e+06,349.75,0,0,0.029985,0.084861
1,9.9689e+06,349.75,0,0,0.029985,0.085593
1,9.9689e+06,349.75,0,0,0.029985,0.08633
1,9.9689e+06,349.75,0,0,0.029985,0.087071
1,9.969e+06,349.75,0,0,0.029985,0.087816
1,9.969e+06,349.75,0,0,0.029985,0.088566
1,9.969e+06,349.76,0,0,0.029985,0.089321
1,9.969e+06,349.76,0,0,0.029985,0.09008
1,9.969e+06,349.76,0,0,0.029985,0.090844
1,9.969e+06,349.77,0,0,0.029985,0.091612
1,9.969e+06,349.77,0,0,0.029985,0.092386
1,9.969e+06,349.77,0,0,0.029985,0.093163
1,9.9691e+06,349.78,0,0,0.029985,0.093946
1,9.9691e+06,349.78,0,0,0.029985,0.094733
1,9.9691e+06,349.78,0,0,0.029985,0.095525
1,9.9691e+06,349.78,0,0,0.029985,0.096322
1,9.9691e+06,349.78,0,0,0.029985,0.097124
1,9.9691e+06,349.78,0,0,0.029985,0.09793
1,9.9691e+06,349.78,0,0,0.029985,0.098742
1,9.9691e+06,349.78,0,0,0.029985,0.099558
1,9.9692e+06,349.78,0,0,0.029985,0.10038
1,9.9692e+06,349.78,0,0,0.029985,0.10121
1,9.9692e+06,349.78,0,0,0.029985,0.10204
1,9.9692e+06,349.79,0,0,0.029985,0.10287
1,9.9692e+06,349.79,0,0,0.029985,0.10372
1,9.9692e+06,349.8,0,0,0.029985,0.10456
1,9.9692e+06,349.8,0,0,0.029985,0.10541
1,9.9692e+06,349.8,0,0,0.029985,0.10627
1,9.9692e+06,349.79,0,0,0.029985,0.10713
1,9.9692e+06,349.78,0,0,0.029985,0.108
1,1.0031e+07,350.23,0,0,-0.029985,0.00021684
1,1.0031e+07,350.23,0,0,-0.029985,0
1,1.0031e+07,350.22,0,0,-0.029985,0.00043499
1,1.0031e+07,350.22,0,0,-0.029985,0.00065447
1,1.0031e+07,350.21,0,0,-0.029985,0.00087528
1,1.0031e+07,350.21,0,0,-0.029985,0.0010974
1,1.0031e+07,350.21,0,0,-0.029985,0.0013209
1,1.0031e+07,350.21,0,0,-0.029985,0.0015458
1,1.0031e+07,350.2,0,0,-0.029985,0.001772
1,1.0031e+07,350.2,0,0,-0.029985,0.0019996
1,1.0031e+07,350.2,0,0,-0.029985,0.0022286
1,1.0031e+07,350.2,0,0,-0.029985,0.002459
1,1.0031e+07,350.2,0,0,-0.029985,0.0026907
1,1.0031e+07,350.2,0,0,-0.029985,0.0029239
1,1.0031e+07,350.2,0,0,-0.029985,0.0031585
1,1.0031e+07,350.2,0,0,-0.029985,0.0033945
1,1.0031e+07,350.2,0,0,-0.029985,0.003632
1,1.0031e+07,350.2,0,0,-0.029985,0.0038709
1,1.0031e+07,350.2,0,0,-0.029985,0.0041112
1,1.0031e+07,350.21,0,0,-0.029985,0.004353
1,1.0031e+07,350.21,0,0,-0.029985,0.0045963
1,1.0031e+07,350.21,0,0,-0.029985,0.004841
1,1.0031e+07,350.21,0,0,-0.029985,0.0050873
1,1.0031e+07,350.21,0,0,-0.029985,0.005335
1,1.0031e+07,350.21,0,0,-0.029985,0.0055842
1,1.0031e+07,350.22,0,0,-0.029985,0.005835
1,1.0031e+07,350.22,0,0,-0.029985,0.0060872
1,1.0031e+07,350.22,0,0,-0.029985,0.006341
1,1.0031e+07,350.22,0,0,-0.029985,0.0065964
1,1.0031e+07,350.22,0,0,-0.029985,0.0068533
1,1.0031e+07,350.22,0,0,-0.029985,0.0071117
1,1.0031e+07,350.22,0,0,-0.029985,0.0073717
1,1.0031e+07,350.22,0,0,-0.029985,0.0076333
1,1.0031e+07,350.22,0,0,-0.029985,0.0078965
1,1.0031e+07,350.22,0,0,-0.029985,0.0081613
1,1.0031e+07,350.22,0,0,-0.029985,0.0084277
1,1.0031e+07,350.22,0,0,-0.029985,0.0086957
1,1.0031e+07,350.22,0,0,-0.029985,0.0089654
1,1.0031e+07,350.22,0,0,-0.029985,0.0092366
1,1.0031e+07,350.22,0,0,-0.029985,0.0095096
1,1.0031e+07,350.22,0,0,-0.029985,0.0097841
1,1.0031e+07,350.22,0,0,-0.029985,0.01006
1,1.0031e+07,350.22,0,0,-0.029985,0.010338
1,1.0031e+07,350.22,0,0,-0.029985,0.010618
1,1.0031e+07,350.22,0,0,-0.029985,0.010899
1,1.0031e+07,350.22,0,0,-0.029985,0.011182
1,1.0031e+07,350.22,0,0,-0.029985,0.011467
1,1.0031e+07,350.22,0,0,-0.029985,0.011753
1,1.0031e+07,350.22,0,0,-0.029985,0.012042
1,1.0031e+07,350.22,0,0,-0.029985,0.012332
1,1.0031e+07,350.22,0,0,-0.029985,0.012623
1,1.0031e+07,350.22,0,0,-0.029985,0.012917
1,1.0031e+07,350.22,0,0,-0.029985,0.013212
1,1.0031e+07,350.22,0,0,-0.029985,0.013509
1,1.0031e+07,350.22,0,0,-0.029985,0.013808
1,1.0031e+07,350.22,0,0,-0.029985,0.014109
1,1.0031e+07,350.22,0,0,-0.029985,0.014411
1,1.0031e+07,350.23,0,0,-0.029985,0.014716
1,1.0031e+07,350.23,0,0,-0.029985,0.015022
1,1.0031e+07,350.23,0,0,-0.029985,0.01533
1,1.0031e+07,350.23,0,0,-0.029985,0.01564
1,1.0031e+07,350.23,0,0,-0.029985,0.015952
1,1.0031e+07,350.23,0,0,-0.029985,0.016265
1,1.0031e+07,350.24,0,0,-0.029985,0.016581
1,1.0031e+07,350.24,0,0,-0.029985,0.016898
1,1.0031e+07,350.24,0,0,-0.029985,0.017218
1,1.0031e+07,350.24,0,0,-0.029985,0.017539
1,1.0031e+07,350.24,0,0,-0.029985,0.017863
1,1.0031e+07,350.24,0,0,-0.029985,0.018188
1,1.0031e+07,350.24,0,0,-0.029985,0.018515
1,1.0031e+07,350.25,0,0,-0.029985,0.018844
1,1.0031e+07,350.25,0,0,-0.029985,0.019176
1,1.0031e+07,350.25,0,0,-0.029985,0.019509
1,1.0031e+07,350.25,0,0,-0.029985,0.019844
1,1.0031e+07,350.25,0,0,-0.029985,0.020182
1,1.0031e+07,350.25,0,0,-0.029985,0.020521
1,1.0031e+07,350.25,0,0,-0.029985,0.020862
1,1.0031e+07,350.25,0,0,-0.029985,0.021206
1,1.0031e+07,350.25,0,0,-0.029985,0.021551
1,1.0031e+07,350.25,0,0,-0.029985,0.021899
1,1.0031e+07,350.25,0,0,-0.029985,0.022249
1,1.0031e+07,350.25,0,0,-0.029985,0.022601
1,1.0031e+07,350.25,0,0,-0.029985,0.022955
1,1.0031e+07,350.25,0,0,-0.029985,0.023311
1,1.0031e+07,350.25,0,0,-0.029985,0.02367
1,1.0031e+07,350.25,0,0,-0.029985,0.02403
1,1.0031e+07,350.24,0,0,-0.029985,0.024393
1,1.0031e+07,350.24,0,0,-0.029985,0.024758
1,1.0031e+07,350.24,0,0,-0.029985,0.025125
1,1.0031e+07,350.24,0,0,-0.029985,0.025494
1,1.0031e+07,350.24,0,0,-0.029985,0.025866
1,1.0031e+07,350.24,0,0,-0.029985,0.02624
1,1.0031e+07,350.24,0,0,-0.029985,0.026616
1,1.0031e+07,350.24,0,0,-0.029985,0.026995
1,1.0031e+07,350.24,0,0,-0.029985,0.027375
1,1.0031e+07,350.24,0,0,-0.029985,0.027758
1,1.0031e+07,350.24,0,0,-0.029985,0.028144
1,1.0031e+07,350.24,0,0,-0.029985,0.028531
1,1.0031e+07,350.24,0,0,-0.029985,0.028922
1,1.0031e+07,350.24,0,0,-0.029985,0.029314
1,1.0031e+07,350.24,0,0,-0.029985,0.029709
1,1.0031e+07,350.24,0,0,-0.029985,0.030106
1,1.0031e+07,350.23,0,0,-0.029985,0.030506
1,1.0031e+07,350.23,0,0,-0.029985,0.030908
1,1.0031e+07,350.23,0,0,-0.029985,0.031312
1,1.0031e+07,350.23,0,0,-0.029985,0.031719
1,1.0031e+07,350.23,0,0,-0.029985,0.032129
1,1.0031e+07,350.23,0,0,-0.029985,0.032541
1,1.0031e+07,350.23,0,0,-0.029985,0.032955
1,1.0031e+07,350.23,0,0,-0.029985,0.033372
1,1.0031e+07,350.23,0,0,-0.029985,0.033792
1,1.0031e+07,350.23,0,0,-0.029985,0.034214
1,1.0031e+07,350.23,0,0,-0.029985,0.034638
